location,year,month,bike_east_north,bike_west_sout,ped_east_north,ped_west_sout
Paseo del Bosque Trail & Tingley Beach,2018,1,3726,3826,2230,2412
Paseo del Norte Trail at Rail Runner Station,2018,1,1071,1155,291,297
Paseo del Nordeste Trail at Erna Fergusson,2018,2,863,925,2382,1702
North Diversion Channel Trail & Indian School Rd,2018,2,2653,2416,1264,1335
North Diversion Channel Trail & Journal Center,2018,2,2177,2145,1197,1207
Paseo del Bosque Trail & Montano Rd,2018,2,3913,3822,1650,1748
Paseo del Bosque Trail & Tingley Beach,2018,2,3837,3608,2027,2151
Paseo de las Montanas Trail at Jerry Cline,2018,2,1004,1251,1906,1924
Paseo del Norte Trail at Rail Runner Station,2018,2,1341,1405,305,312
Paseo del Bosque Trail & Montano Rd,2018,3,6220,6249,2009,2318
North Diversion Channel Trail & Journal Center,2018,3,3248,3025,1932,1562
Paseo del Bosque Trail & Tingley Beach,2018,3,6070,6022,3165,3280
Paseo del Nordeste Trail at Erna Fergusson,2018,3,1277,1174,3297,2189
Paseo de las Montanas Trail at Jerry Cline,2018,3,1335,1591,2606,2709
North Diversion Channel Trail & Indian School Rd,2018,3,3513,3203,1326,1376
Paseo del Norte Trail at Rail Runner Station,2018,3,2055,2196,375,385
Paseo del Norte Trail at Rail Runner Station,2018,4,2285,2370,433,438
Paseo de las Montanas Trail at Jerry Cline,2018,4,1671,1933,2741,2884
Paseo del Nordeste Trail at Erna Fergusson,2018,4,1556,1450,2709,2189
North Diversion Channel Trail & Indian School Rd,2018,4,3675,3930,1479,1614
North Diversion Channel Trail & Journal Center,2018,4,3510,3389,2607,1659
Paseo del Bosque Trail & Tingley Beach,2018,4,7437,7234,3324,3188
Paseo del Bosque Trail & Montano Rd,2018,4,7280,7325,2099,2708
Paseo de las Montanas Trail at Jerry Cline,2018,5,2067,2389,2693,2829
Paseo del Nordeste Trail at Erna Fergusson,2018,5,1973,1851,2916,2460
North Diversion Channel Trail & Indian School Rd,2018,5,3580,4938,966,1326
North Diversion Channel Trail & Journal Center,2018,5,4387,4132,4209,1987
Paseo del Bosque Trail & Montano Rd,2018,5,9019,9191,2052,2880
Paseo del Bosque Trail & Tingley Beach,2018,5,9080,8678,3959,3273
Paseo del Norte Trail at Rail Runner Station,2018,5,2845,2922,498,532
North Diversion Channel Trail & Indian School Rd,2018,6,3230,4718,804,1200
Paseo del Nordeste Trail at Erna Fergusson,2018,6,1920,1797,2942,2341
North Diversion Channel Trail & Journal Center,2018,6,4109,4142,7477,2114
Paseo de las Montanas Trail at Jerry Cline,2018,6,1985,2294,2427,2608
Paseo del Norte Trail at Rail Runner Station,2018,6,2796,2792,410,441
Paseo del Bosque Trail & Montano Rd,2018,6,6843,7212,1729,3593
Paseo del Bosque Trail & Tingley Beach,2018,6,9905,8726,3453,2937
Paseo del Bosque Trail & Tingley Beach,2018,7,10339,9980,3295,3043
Paseo de las Montanas Trail at Jerry Cline,2018,7,1709,1891,2359,2815
Paseo del Nordeste Trail at Erna Fergusson,2018,7,2006,1722,2468,1879
North Diversion Channel Trail & Indian School Rd,2018,7,3404,4907,2566,5334
North Diversion Channel Trail & Journal Center,2018,7,4580,4344,5007,1531
Paseo del Bosque Trail & Montano Rd,2018,7,0,0,0,0
Paseo del Norte Trail at Rail Runner Station,2018,7,2914,2844,396,540
North Diversion Channel Trail & Indian School Rd,2018,8,3502,5419,1053,1802
Paseo del Nordeste Trail at Erna Fergusson,2018,8,1886,1630,2625,1898
North Diversion Channel Trail & Journal Center,2018,8,4631,4529,7056,1866
Paseo del Bosque Trail & Montano Rd,2018,8,4951,4908,1254,1577
Paseo del Bosque Trail & Tingley Beach,2018,8,9429,9370,3421,2908
Paseo del Norte Trail at Rail Runner Station,2018,8,3006,3123,487,495
Paseo de las Montanas Trail at Jerry Cline,2018,8,1090,800,1210,1667
Paseo de las Montanas Trail at Jerry Cline,2018,9,1853,1438,2198,2949
Paseo del Norte Trail at Rail Runner Station,2018,9,2967,3025,471,472
Paseo del Bosque Trail & Tingley Beach,2018,9,9203,9024,3292,3153
Paseo del Bosque Trail & Montano Rd,2018,9,9168,9334,2532,2989
North Diversion Channel Trail & Journal Center,2018,9,4264,4229,1804,1465
North Diversion Channel Trail & Indian School Rd,2018,9,3837,4994,1432,1860
Paseo del Nordeste Trail at Erna Fergusson,2018,9,1762,1612,3044,2080
Paseo del Norte Trail at Rail Runner Station,2018,10,2742,2835,1431,1778
Paseo del Bosque Trail & Montano Rd,2018,10,7577,7475,2611,3096
Paseo de las Montanas Trail at Jerry Cline,2018,10,1263,639,1882,2817
Paseo del Bosque Trail & Tingley Beach,2018,10,6234,6244,4199,4355
Paseo del Nordeste Trail at Erna Fergusson,2018,10,1354,1320,2580,1926
North Diversion Channel Trail & Indian School Rd,2018,10,4002,3795,1535,1611
North Diversion Channel Trail & Journal Center,2018,10,6424,6069,2177,2137
Paseo del Norte Trail at Rail Runner Station,2018,11,1703,1813,382,975
Paseo del Bosque Trail & Tingley Beach,2018,11,4341,4338,2238,2937
Paseo de las Montanas Trail at Jerry Cline,2018,11,1130,427,1689,2530
Paseo del Bosque Trail & Montano Rd,2018,11,4577,4573,1624,1837
North Diversion Channel Trail & Journal Center,2018,11,2568,2538,1116,1145
North Diversion Channel Trail & Indian School Rd,2018,11,2777,2655,1086,1190
Paseo del Nordeste Trail at Erna Fergusson,2018,11,876,895,3595,1840
Paseo del Norte Trail at Rail Runner Station,2018,12,1046,1103,329,444
Paseo del Nordeste Trail at Erna Fergusson,2018,12,622,570,2315,1343
North Diversion Channel Trail & Indian School Rd,2018,12,1782,1700,785,906
North Diversion Channel Trail & Journal Center,2018,12,1645,1661,902,874
Paseo del Bosque Trail & Montano Rd,2018,12,2524,2649,1512,1556
Paseo del Bosque Trail & Tingley Beach,2018,12,2502,2562,1579,1741
Paseo de las Montanas Trail at Jerry Cline,2018,12,745,366,1405,1888
Paseo del Norte Trail at Rail Runner Station,2019,1,1045,0,284,752
Paseo del Nordeste Trail at Erna Fergusson,2019,1,694,626,2790,1647
Paseo del Bosque Trail & Montano Rd,2019,1,2580,2810,1439,1430
North Diversion Channel Trail & Journal Center,2019,1,1674,1673,946,930
North Diversion Channel Trail & Indian School Rd,2019,1,2007,1950,1077,1174
Paseo de las Montanas Trail at Jerry Cline,2019,1,681,306,1575,2003
Paseo del Bosque Trail & Tingley Beach,2019,1,2398,2461,1772,1831
Paseo del Bosque Trail & Montano Rd,2019,2,2965,3033,1353,1453
Paseo del Norte Trail at Rail Runner Station,2019,2,1099,0,263,283
Paseo del Bosque Trail & Tingley Beach,2019,2,2606,2413,2084,1736
North Diversion Channel Trail & Journal Center,2019,2,1897,1778,921,882
Paseo del Nordeste Trail at Erna Fergusson,2019,2,695,658,2394,1320
Paseo de las Montanas Trail at Jerry Cline,2019,2,785,297,1407,2055
North Diversion Channel Trail & Indian School Rd,2019,2,2154,2071,958,1043
Paseo del Bosque Trail & Tingley Beach,2019,3,3181,3113,2423,2470
North Diversion Channel Trail & Journal Center,2019,3,2993,2819,1511,1253
Paseo del Norte Trail at Rail Runner Station,2019,3,1877,0,390,422
Paseo de las Montanas Trail at Jerry Cline,2019,3,1224,492,2305,3415
Paseo del Nordeste Trail at Erna Fergusson,2019,3,1033,978,3097,1834
North Diversion Channel Trail & Indian School Rd,2019,3,2801,2755,1307,1464
Paseo del Bosque Trail & Montano Rd,2019,3,5538,5619,2246,3089
Paseo de las Montanas Trail at Jerry Cline,2019,4,1478,793,2427,3488
North Diversion Channel Trail & Indian School Rd,2019,4,3044,3184,1318,1569
Paseo del Norte Trail at Rail Runner Station,2019,4,2109,0,426,455
Paseo del Bosque Trail & Tingley Beach,2019,4,7195,7222,3676,3647
Paseo del Bosque Trail & Montano Rd,2019,4,7250,7281,2216,2716
North Diversion Channel Trail & Journal Center,2019,4,3469,3203,1958,1498
Paseo del Nordeste Trail at Erna Fergusson,2019,4,1359,1301,2676,2054
Paseo del Nordeste Trail at Erna Fergusson,2019,5,1571,1527,2386,1999
North Diversion Channel Trail & Indian School Rd,2019,5,3144,3451,972,1246
North Diversion Channel Trail & Journal Center,2019,5,3566,3468,2405,1517
Paseo del Bosque Trail & Montano Rd,2019,5,7803,7836,2100,2527
Paseo del Bosque Trail & Tingley Beach,2019,5,8527,8394,4706,4162
Paseo de las Montanas Trail at Jerry Cline,2019,5,1516,993,2525,3410
Paseo del Norte Trail at Rail Runner Station,2019,5,2327,0,433,471
Paseo de las Montanas Trail at Jerry Cline,2019,6,1835,2059,2444,2651
Paseo del Nordeste Trail at Erna Fergusson,2019,6,1752,1673,2272,1913
North Diversion Channel Trail & Indian School Rd,2019,6,2885,4093,1489,2394
North Diversion Channel Trail & Journal Center,2019,6,4121,4082,7048,1999
Paseo del Bosque Trail & Montano Rd,2019,6,9432,9641,2154,2800
Paseo del Bosque Trail & Tingley Beach,2019,6,9692,9211,4835,4521
Paseo del Norte Trail at Rail Runner Station,2019,6,2820,0,410,590
Paseo de las Montanas Trail at Jerry Cline,2019,7,1846,2107,2097,2227
Paseo del Nordeste Trail at Erna Fergusson,2019,7,1817,1631,2315,1871
Paseo del Norte Trail at Rail Runner Station,2019,7,2805,0,397,3924
North Diversion Channel Trail & Indian School Rd,2019,7,967,1502,2330,2886
North Diversion Channel Trail & Journal Center,2019,7,4503,4238,5416,1415
Paseo del Bosque Trail & Montano Rd,2019,7,9546,9886,2017,3085
Paseo del Bosque Trail & Tingley Beach,2019,7,9729,9224,3640,3319
Paseo del Nordeste Trail at Erna Fergusson,2019,8,1869,1623,2223,1712
North Diversion Channel Trail & Journal Center,2019,8,4241,3961,5152,1663
Paseo de las Montanas Trail at Jerry Cline,2019,8,1874,2162,2081,2188
North Diversion Channel Trail & Indian School Rd,2019,8,0,0,0,0
Paseo del Bosque Trail & Tingley Beach,2019,8,7750,7544,2755,2588
Paseo del Norte Trail at Rail Runner Station,2019,8,2688,0,414,3444
Paseo del Bosque Trail & Montano Rd,2019,8,9369,9524,2090,3401
Paseo del Nordeste Trail at Erna Fergusson,2019,9,1797,1612,2371,1975
Paseo de las Montanas Trail at Jerry Cline,2019,9,2359,2429,1990,2220
Paseo del Norte Trail at Rail Runner Station,2019,9,2579,0,416,3686
North Diversion Channel Trail & Indian School Rd,2019,9,0,0,0,0
North Diversion Channel Trail & Journal Center,2019,9,3948,3869,3986,1551
Paseo del Bosque Trail & Montano Rd,2019,9,8813,8978,2354,3456
Paseo del Bosque Trail & Tingley Beach,2019,9,8881,8870,3186,3259
Paseo del Nordeste Trail at Erna Fergusson,2019,10,1375,1345,2461,2058
Paseo del Norte Trail at Rail Runner Station,2019,10,2780,0,1202,1429
Paseo del Bosque Trail & Tingley Beach,2019,10,6678,6660,3759,3988
Paseo del Bosque Trail & Montano Rd,2019,10,8087,8089,2710,3462
North Diversion Channel Trail & Journal Center,2019,10,6536,6199,3354,2374
North Diversion Channel Trail & Indian School Rd,2019,10,0,0,0,0
Paseo de las Montanas Trail at Jerry Cline,2019,10,1383,1459,1611,2062
Paseo del Bosque Trail & Tingley Beach,2019,11,4392,4254,2436,2367
Paseo del Bosque Trail & Montano Rd,2019,11,4426,4573,1587,1938
North Diversion Channel Trail & Journal Center,2019,11,2223,2216,1099,1047
North Diversion Channel Trail & Indian School Rd,2019,11,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2019,11,896,781,1835,1529
Paseo de las Montanas Trail at Jerry Cline,2019,11,978,516,1490,2260
Paseo del Norte Trail at Rail Runner Station,2019,11,1455,0,315,819
North Diversion Channel Trail & Indian School Rd,2019,12,845,825,662,888
Paseo del Nordeste Trail at Erna Fergusson,2019,12,662,633,1709,1324
Paseo de las Montanas Trail at Jerry Cline,2019,12,712,446,1399,1838
Paseo del Bosque Trail & Tingley Beach,2019,12,2285,2042,11764,2104
Paseo del Norte Trail at Rail Runner Station,2019,12,873,0,401,788
Paseo del Bosque Trail & Montano Rd,2019,12,2460,2579,1390,1495
North Diversion Channel Trail & Journal Center,2019,12,1532,1501,953,936
Paseo del Bosque Trail & Montano Rd,2020,1,3157,3102,1446,1536
Paseo del Nordeste Trail at Erna Fergusson,2020,1,791,696,1969,1358
Paseo de las Montanas Trail at Jerry Cline,2020,1,759,358,1682,2295
Paseo del Bosque Trail & Tingley Beach,2020,1,2409,1903,0,1406
North Diversion Channel Trail & Journal Center,2020,1,1832,1859,1166,1143
North Diversion Channel Trail & Indian School Rd,2020,1,1791,1825,1038,1193
Paseo del Norte Trail at Rail Runner Station,2020,1,1075,1082,269,703
Paseo del Norte Trail at Rail Runner Station,2020,2,1309,1285,343,474
Paseo del Bosque Trail & Montano Rd,2020,2,4038,4050,1686,1813
North Diversion Channel Trail & Journal Center,2020,2,2025,2067,1061,1099
North Diversion Channel Trail & Indian School Rd,2020,2,2019,1986,1081,1191
Paseo del Nordeste Trail at Erna Fergusson,2020,2,867,806,1910,1394
Paseo de las Montanas Trail at Jerry Cline,2020,2,267,127,618,823
Paseo del Bosque Trail & Tingley Beach,2020,2,3908,3945,0,2514
Paseo del Bosque Trail & Montano Rd,2020,3,8149,8112,2630,3032
North Diversion Channel Trail & Journal Center,2020,3,3590,3417,1868,1513
North Diversion Channel Trail & Indian School Rd,2020,3,2941,2830,1435,1644
Paseo del Nordeste Trail at Erna Fergusson,2020,3,1494,1462,2635,2350
Paseo del Bosque Trail & Tingley Beach,2020,3,7919,7791,0,3615
Paseo del Norte Trail at Rail Runner Station,2020,3,2132,2347,545,641
Paseo de las Montanas Trail at Jerry Cline,2020,3,1142,472,2148,3180
Paseo del Norte Trail at Rail Runner Station,2020,4,3391,3462,659,875
Paseo de las Montanas Trail at Jerry Cline,2020,4,2350,889,4162,6038
Paseo del Nordeste Trail at Erna Fergusson,2020,4,2312,2188,3588,3379
North Diversion Channel Trail & Indian School Rd,2020,4,3921,3926,1739,2166
North Diversion Channel Trail & Journal Center,2020,4,5119,4987,4280,2125
Paseo del Bosque Trail & Montano Rd,2020,4,12646,12641,3084,3688
Paseo del Bosque Trail & Tingley Beach,2020,4,7486,7257,0,2851
Paseo de las Montanas Trail at Jerry Cline,2020,5,2817,1364,4676,6837
North Diversion Channel Trail & Indian School Rd,2020,5,3960,4892,1474,1912
North Diversion Channel Trail & Journal Center,2020,5,6104,5940,4591,2136
Paseo del Bosque Trail & Montano Rd,2020,5,16848,17145,3493,4214
Paseo del Bosque Trail & Tingley Beach,2020,5,15039,14377,0,3942
Paseo del Nordeste Trail at Erna Fergusson,2020,5,2759,2500,4230,3895
Paseo del Norte Trail at Rail Runner Station,2020,5,4156,4309,760,870
Paseo del Nordeste Trail at Erna Fergusson,2020,6,2096,1676,2881,2463
North Diversion Channel Trail & Indian School Rd,2020,6,3542,4600,1060,1632
North Diversion Channel Trail & Journal Center,2020,6,4935,4999,5307,1969
Paseo del Bosque Trail & Montano Rd,2020,6,13465,13877,2825,3433
Paseo del Bosque Trail & Tingley Beach,2020,6,13140,12295,0,3525
Paseo del Norte Trail at Rail Runner Station,2020,6,3347,3432,557,717
Paseo de las Montanas Trail at Jerry Cline,2020,6,2468,2159,3364,4549
Paseo de las Montanas Trail at Jerry Cline,2020,7,2363,2244,3181,3944
North Diversion Channel Trail & Indian School Rd,2020,7,3420,4562,937,1750
North Diversion Channel Trail & Journal Center,2020,7,5210,4884,3424,1475
Paseo del Bosque Trail & Montano Rd,2020,7,13260,13649,2573,3327
Paseo del Bosque Trail & Tingley Beach,2020,7,13199,12144,0,3247
Paseo del Norte Trail at Rail Runner Station,2020,7,3290,3573,521,646
Paseo del Nordeste Trail at Erna Fergusson,2020,7,0,0,0,0
Paseo del Norte Trail at Rail Runner Station,2020,8,3364,3503,549,706
Paseo del Bosque Trail & Tingley Beach,2020,8,13018,12745,0,3645
Paseo del Bosque Trail & Montano Rd,2020,8,12906,13231,3108,5345
Paseo del Nordeste Trail at Erna Fergusson,2020,8,0,0,0,0
Paseo de las Montanas Trail at Jerry Cline,2020,8,2447,2164,3102,3949
North Diversion Channel Trail & Indian School Rd,2020,8,3330,4684,1012,1457
North Diversion Channel Trail & Journal Center,2020,8,5161,4852,1841,1165
Paseo del Norte Trail at Rail Runner Station,2020,9,2893,3053,473,610
Paseo del Bosque Trail & Montano Rd,2020,9,11410,11550,2748,4572
North Diversion Channel Trail & Journal Center,2020,9,4329,4420,1613,1369
North Diversion Channel Trail & Indian School Rd,2020,9,3355,3921,1381,1702
Paseo del Nordeste Trail at Erna Fergusson,2020,9,4,4,11,2
Paseo de las Montanas Trail at Jerry Cline,2020,9,2253,1864,2923,3823
Paseo del Bosque Trail & Tingley Beach,2020,9,11397,11191,0,3243
Paseo del Norte Trail at Rail Runner Station,2020,10,2639,2766,473,569
