,Location,Date,Value
77,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-03,0.0
78,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-03,0.0
79,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-03,0.0
80,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-03,2461.0
81,Paseo del Norte & Rail Runner Bicycle Westbound,2017-03,2523.0
82,Paseo del Norte & Rail Runner PED Eastbound,2017-03,503.0
83,Paseo del Norte & Rail Runer PED Westbound,2017-03,640.0
84,Jerry Cline Park Pedestrians IN West,2017-04,0.0
85,Jerry Cline Park Pedestrians OUT East,2017-04,0.0
86,Jerry Cline Park Bicyclists OUT East,2017-04,0.0
87,Erna Fergusson Library Bicycle Eastbound,2017-04,1688.0
88,Erna Fergusson Library Bicycle Westbound,2017-04,1423.0
89,Erna Fergusson Library PED Eastbound,2017-04,2837.0
90,Erna Fergusson Library PED Westbound,2017-04,2458.0
91,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-04,0.0
92,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-04,0.0
93,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-04,0.0
94,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-04,0.0
95,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-04,0.0
96,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-04,0.0
97,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-04,0.0
98,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-04,0.0
99,Jerry Cline Park Cyclists IN West,2017-04,0.0
100,Paseo del Bosque & Montano Rd Cyclists North,2017-04,0.0
101,Paseo del Bosque & Montano Rd Cyclists South,2017-04,0.0
102,Paseo del Bosque & Montano Rd Pedestrians North,2017-04,0.0
103,Paseo del Bosque & Montano Rd Pedestrians South,2017-04,0.0
104,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-04,0.0
105,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-04,0.0
106,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-04,0.0
107,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-04,0.0
108,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-04,2386.0
109,Paseo del Norte & Rail Runner Bicycle Westbound,2017-04,2488.0
110,Paseo del Norte & Rail Runner PED Eastbound,2017-04,31621.0
111,Paseo del Norte & Rail Runer PED Westbound,2017-04,42730.0
112,Jerry Cline Park Pedestrians IN West,2017-05,0.0
113,Jerry Cline Park Pedestrians OUT East,2017-05,0.0
114,Jerry Cline Park Bicyclists OUT East,2017-05,0.0
115,Erna Fergusson Library Bicycle Eastbound,2017-05,2248.0
116,Erna Fergusson Library Bicycle Westbound,2017-05,1847.0
117,Erna Fergusson Library PED Eastbound,2017-05,3001.0
118,Erna Fergusson Library PED Westbound,2017-05,2683.0
119,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-05,0.0
120,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-05,0.0
121,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-05,0.0
122,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-05,0.0
123,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-05,0.0
124,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-05,0.0
125,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-05,0.0
126,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-05,0.0
127,Jerry Cline Park Cyclists IN West,2017-05,0.0
128,Paseo del Bosque & Montano Rd Cyclists North,2017-05,0.0
129,Paseo del Bosque & Montano Rd Cyclists South,2017-05,0.0
130,Paseo del Bosque & Montano Rd Pedestrians North,2017-05,0.0
131,Paseo del Bosque & Montano Rd Pedestrians South,2017-05,0.0
132,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-05,0.0
133,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-05,0.0
134,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-05,0.0
135,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-05,0.0
136,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-05,3074.0
